X,Y,radius,obvious,regular,subtle,close_to_vessel
757.3742,104.0883,6.6828,1,0,0,0
838.9906,262.3031,6.2687,1,0,0,1
594.7502,252.1926,5.0924,0,1,0,0
374.5555,319.407,5.0672,1,0,0,0
475.5513,300.6652,5.3438,0,0,1,1
358.9115,412.857,5.0189,0,0,1,0
296.5517,544.7768,6.6198,1,0,0,0
390.4963,565.6437,6.2779,1,0,0,0
594.4672,749.0939,5.1846,1,0,0,0
567.0721,745.8935,5.5046,0,1,0,0
524.457,706.8398,6.6406,0,1,0,0
1096.8461,439.093,5.3609,0,1,0,0
1109.4324,595.8465,5.3438,1,0,0,0
741.7422,431.4063,5.0859,1,0,0,0
625.3398,411.9727,6.3766,0,0,1,0
553.0521,497.0135,6.8979,0,1,0,0
471.0792,480.651,6.5771,0,1,0,0
