X,Y,radius,obvious,regular,subtle,close_to_vessel
654.5668,59.2964,6.9355,0,1,0,0
711.4567,38.0509,10.0191,0,1,0,0
782.8792,33.2938,8.7549,0,1,0,0
538.2078,227.5677,8.4904,1,0,0,0
359.3622,307.9992,5.9363,0,0,0,0
345.2539,313.3958,6.2447,0,0,0,0
653.4221,112.6857,5.6565,0,1,0,0
667.9674,107.0292,6.707,0,1,0,0
312.6962,413.5516,7.6251,0,0,1,0
294.9769,430.1091,7.1168,0,1,0,0
315.6987,469.3245,7.4299,0,1,0,0
368.6921,359.258,7.098,0,0,0,0
452.4411,349.3387,8.9593,1,0,0,0
437.0112,319.101,7.9638,0,0,1,0
442.6108,324.2028,7.5905,0,0,1,0
365.4992,664.5972,8.7753,0,1,0,1
382.4174,696.7433,10.7889,0,1,0,0
679.2139,632.1125,6.814,0,1,0,0
1014.0587,164.6821,6.9713,0,1,0,0
1007.213,790.3469,6.5367,0,1,0,0
623.5062,237.8096,6.7871,0,1,0,1
687.5086,198.1005,9.2304,0,1,0,0
698.0965,190.6347,6.2441,0,1,0,0
705.9431,158.5662,7.0586,0,1,0,0
714.7663,147.5711,6.9228,1,0,0,0
701.0386,899.9641,8.6699,0,1,0,0
538.109,858.7982,5.559,0,1,0,0
950.8806,242.5474,8.0197,0,1,0,0
965.9479,287.2633,6.3185,0,1,0,0
979.5571,291.6377,9.9639,0,1,0,0
817.3898,409.6955,8.3415,0,1,0,0
1088.4436,411.9166,9.2348,0,0,1,0
1063.1694,462.951,8.0197,0,1,0,0
1106.6702,451.043,8.2627,0,0,1,0
1093.061,364.5275,9.9639,0,1,0,1
1127.638,535.1948,5.5889,0,1,0,0
1048.3268,570.1942,5.4503,0,1,0,0
1166.5081,610.6016,9.4253,0,0,1,0
794.3859,162.4164,5.6275,0,1,0,0
1112.4953,609.5752,8.1689,0,1,0,1
1045.5102,646.6076,10.3473,0,1,0,1
624.3589,807.6189,8.6888,0,1,0,0
614.0611,855.2462,7.8842,0,1,0,0
548.3281,846.7344,5.9063,0,1,0,0
917.8555,445.7492,9.1078,0,1,0,0
