X,Y,radius,obvious,regular,subtle,close_to_vessel
1009.281,199.2465,8.8014,0,0,1,0
917.0984,154.0817,9.033,0,0,1,0
684.1335,252.3144,9.6506,1,0,0,0
624.024,284.0235,7.4448,0,0,1,0
625.9541,182.83,6.3418,0,1,0,0
781.7424,326.2104,7.4448,0,0,1,0
841.0002,104.4598,8.2609,0,0,1,0
830.5101,135.7988,6.6874,0,0,1,0
1082.3597,588.5194,8.2719,1,0,0,0
1033.8749,587.5256,7.9656,0,0,1,0
436.5474,352.1905,8.0563,0,1,0,0
331.3919,420.6687,6.5722,0,0,1,0
364.253,413.6725,7.2082,0,0,1,0
346.662,367.6584,6.348,0,0,1,0
326.237,496.1861,8.2867,0,1,0,0
650.3845,375.874,6.2401,0,0,1,0
537.5699,400.9986,6.897,0,1,0,0
588.3118,403.1334,6.4043,0,0,1,0
551.0679,474.9584,7.5734,0,1,0,0
562.1756,490.8626,8.2045,0,1,0,0
809.0636,885.3432,5.0757,0,0,1,0
415.6843,579.2021,8.6028,0,0,1,0
463.6558,646.6617,6.5318,0,1,0,0
529.7701,684.8965,7.647,0,0,1,0
566.5719,638.765,7.9043,0,1,0,0
726.4442,736.8078,5.7475,0,0,1,0
420.013,776.2827,7.9521,1,0,0,0
