X,Y,radius,obvious,regular,subtle,close_to_vessel
851.3181,866.0295,7.2,0,1,0,0
919.7704,807.2175,7.7287,1,0,0,0
926.855,816.2343,6.2259,0,0,1,0
1109.4749,645.1465,8.9999,0,1,0,0
1157.0821,493.5285,9.195,0,0,1,0
637.8965,91.981,9.8157,0,0,1,0
496.2422,154.0495,13.3447,0,1,0,1
545.2763,190.0492,11.793,0,1,0,1
355.178,311.1487,6.6417,0,1,0,1
383.2954,291.1557,9.5851,0,1,0,0
605.9449,296.7867,7.726,0,0,1,1
720.6184,451.247,7.3174,0,1,0,0
726.6923,507.6952,9.7533,0,1,0,0
791.9762,542.0811,7.7799,0,0,1,1
381.299,618.1273,6.1224,0,1,0,0
509.7394,576.0883,6.0462,0,1,0,0
641.0221,583.3149,9.5319,0,1,0,0
576.5735,723.2187,6.3892,0,1,0,0
729.6595,635.6298,9.2216,0,0,1,0
