X,Y,radius,obvious,regular,subtle,close_to_vessel
578.8641,81.9578,5.9125,0,0,1,0
978.3141,252.6766,8.1125,0,1,0,0
931.2984,214.3266,7.5594,0,0,1,1
511.0527,170.627,6.8359,0,0,0,0
1118.8789,412.0617,6.8734,0,0,1,0
789.1953,344.9609,5.6719,0,0,1,0
794.1453,342.7953,5.4656,0,0,1,0
372.4398,272.2461,6.4703,1,0,0,0
443.6133,313.9086,6.1547,0,0,1,1
435.0867,223.0617,5.8797,0,1,0,0
464.9773,233.493,3.5781,0,1,0,0
376.9648,410.7383,6.2344,1,0,0,0
435.207,413.8555,7.0547,0,0,1,0
470.1898,655.8727,4.7906,0,0,1,0
509.2975,675.625,5.2469,0,1,0,0
596.7703,694.8039,4.9264,0,1,0,1
477.3071,580.4885,6.459,0,0,1,0
549.0208,605.6412,7.5933,0,0,1,0
479.0145,497.5643,6.1695,0,1,0,0
510.0994,508.7169,6.1695,1,0,0,0
540.9471,536.7171,6.4068,1,0,0,0
882.4058,544.4166,5.6137,0,0,1,0
690.4909,558.345,6.7241,1,0,0,0
662.6907,545.178,6.1559,0,1,0,0
518.7227,482.281,4.7387,0,0,1,0
654.6691,477.8539,7.7189,0,1,0,0
647.1384,398.2738,5.5603,1,0,0,0
536.6873,369.3419,4.9187,0,1,0,0
566.64,301.4874,5.3615,0,0,1,0
564.1944,322.7452,4.703,0,0,1,0
556.9764,263.8843,4.0695,0,0,1,0
584.7949,227.8924,4.8671,0,1,0,0
